window,env,arm,metric,mean,se,n,n_clusters,frac_ref_better
t10,vg/siglip2_l,linear,regret,0.0012176347826086962,0.006074662196013556,115,23,0.5304347826086957
t10,vg/siglip2_l,linear,average_precision,-0.01323423478260869,0.008166826201614423,115,23,0.6
t10,vg/siglip2_l,linear,auroc,-0.017133843478260864,0.0054073852969542,115,23,0.6260869565217392
t10,vg/siglip2_l,linear,f1,-0.005221199999999996,0.004325930360999972,115,23,0.6
t10,vg/siglip2_l,linear,fnr,0.04153250434782608,0.01424949008376272,115,23,0.5304347826086957
t10,vg/siglip2_l,linear,fpr,-0.009843678260869567,0.010620136044622164,115,23,0.5130434782608696
t10,vg/siglip2_l,linear,n_good,0.0782608695652174,0.052958527191918514,115,23,0.12173913043478261
t10,vg/siglip2_l,mlp,cost,0.05761472173913044,0.011024458844318725,115,23,0.6608695652173913
t10,vg/siglip2_l,mlp,oracle_cost,0.04082884347826087,0.007728018226324023,115,23,0.7130434782608696
t10,vg/siglip2_l,mlp,regret,0.01678586956521739,0.009532837169523542,115,23,0.5391304347826087
t10,vg/siglip2_l,mlp,average_precision,-0.019908313043478256,0.0060201788428364275,115,23,0.6347826086956522
t10,vg/siglip2_l,mlp,auroc,-0.02253895652173913,0.00514852010335948,115,23,0.6869565217391305
t10,vg/siglip2_l,mlp,f1,-0.015976260869565214,0.005377446071385713,115,23,0.5478260869565217
t10,vg/siglip2_l,mlp,fnr,0.012029504347826082,0.013146635353934004,115,23,0.45217391304347826
t10,vg/siglip2_l,mlp,fpr,0.04558523478260868,0.01659530370676557,115,23,0.5652173913043478
t10,vg/siglip2_l,mlp,n_good,0.19130434782608696,0.07054643958046833,115,23,0.12173913043478261
t10,vg/siglip2_l,linconv,cost,0.010429773913043483,0.010654490952361881,115,23,0.5391304347826087
t10,vg/siglip2_l,linconv,oracle_cost,0.02578586956521739,0.009199670553283416,115,23,0.6347826086956522
t10,vg/siglip2_l,linconv,regret,-0.015356043478260868,0.009114487745259806,115,23,0.43478260869565216
t10,vg/siglip2_l,linconv,average_precision,-0.017836373913043473,0.0086513880831863,115,23,0.5565217391304348
t10,vg/siglip2_l,linconv,auroc,-0.01109548695652173,0.004554458612374278,115,23,0.5739130434782609
t10,vg/siglip2_l,linconv,f1,-0.0024265913043478244,0.00429699664116075,115,23,0.4434782608695652
t10,vg/siglip2_l,linconv,fnr,0.03915305217391304,0.011857167239094028,115,23,0.5565217391304348
t10,vg/siglip2_l,linconv,fpr,-0.02872321739130435,0.012012468080332784,115,23,0.3391304347826087
t10,vg/siglip2_l,linconv,n_good,0.034782608695652174,0.06612023293700074,115,23,0.1391304347826087
t10,vg/siglip2_l,svmc01,cost,-0.0038539130434782597,0.007071113431987621,115,23,0.5130434782608696
t10,vg/siglip2_l,svmc01,oracle_cost,-0.0016312695652173918,0.006927528492825596,115,23,0.4434782608695652
t10,vg/siglip2_l,svmc01,regret,-0.002222617391304347,0.004733849072537831,115,23,0.4956521739130435
t10,vg/siglip2_l,svmc01,average_precision,-0.0018196956521739143,0.006885024108710789,115,23,0.48695652173913045
t10,vg/siglip2_l,svmc01,auroc,-0.00035034782608695355,0.004010387328207565,115,23,0.5043478260869565
t10,vg/siglip2_l,svmc01,f1,0.004028626086956522,0.003126358333501653,115,23,0.5043478260869565
t10,vg/siglip2_l,svmc01,fnr,-0.0011231304347826092,0.00743884405245708,115,23,0.3391304347826087
t10,vg/siglip2_l,svmc01,fpr,-0.0027307652173912986,0.005588014115841002,115,23,0.5130434782608696
t10,vg/siglip2_l,svmc01,n_good,0.08695652173913043,0.054556910064754535,115,23,0.10434782608695652
t10,vg/siglip2_l,svmc10,cost,0.0021787130434782597,0.009325727208680483,115,23,0.5565217391304348
t10,vg/siglip2_l,svmc10,oracle_cost,0.008390286956521739,0.006978886244390751,115,23,0.5391304347826087
t10,vg/siglip2_l,svmc10,regret,-0.006211643478260868,0.00609148209410156,115,23,0.5478260869565217
t10,vg/siglip2_l,svmc10,average_precision,-0.006198356521739126,0.007164836383635143,115,23,0.5130434782608696
